100 ,10, 0.073566
100 ,20, 0.000250
100 ,45, 0.000218
100 ,80, 0.000257
100 ,100, 0.000278
150 ,10, 0.000361
150 ,20, 0.000340
150 ,45, 0.000333
150 ,80, 0.000362
150 ,100, 0.000403
200 ,10, 0.000640
200 ,20, 0.000521
200 ,45, 0.000550
200 ,80, 0.000590
200 ,100, 0.000575
250 ,10, 0.000918
250 ,20, 0.000705
250 ,45, 0.000704
250 ,80, 0.000839
250 ,100, 0.005642
350 ,10, 0.002079
350 ,20, 0.001489
350 ,45, 0.002850
350 ,80, 0.001493
350 ,100, 0.001554
500 ,10, 0.003483
500 ,20, 0.008388
500 ,45, 0.002877
500 ,80, 0.002994
500 ,100, 0.007586
650 ,10, 0.006657
650 ,20, 0.005565
650 ,45, 0.005355
650 ,80, 0.004873
650 ,100, 0.006912
800 ,10, 0.007176
800 ,20, 0.011283
800 ,45, 0.011501
800 ,80, 0.006412
800 ,100, 0.011431
900 ,10, 0.014358
900 ,20, 0.013374
900 ,45, 0.007963
900 ,80, 0.013193
900 ,100, 0.008302
1000 ,10, 0.016110
1000 ,20, 0.010449
1000 ,45, 0.014593
1000 ,80, 0.009619
1000 ,100, 0.012665
1200 ,10, 0.020454
1200 ,20, 0.013992
1200 ,45, 0.018089
1200 ,80, 0.013325
1200 ,100, 0.019109
1400 ,10, 0.020579
1400 ,20, 0.023421
1400 ,45, 0.017860
1400 ,80, 0.022972
1400 ,100, 0.017748
1600 ,10, 0.026771
1600 ,20, 0.023763
1600 ,45, 0.023135
1600 ,80, 0.028000
1600 ,100, 0.023407
1800 ,10, 0.033830
1800 ,20, 0.029917
1800 ,45, 0.028849
1800 ,80, 0.028951
1800 ,100, 0.028820
2000 ,10, 0.042278
2000 ,20, 0.036630
2000 ,45, 0.038731
2000 ,80, 0.035419
2000 ,100, 0.040218
