100 ,10, 0.030937
100 ,20, 0.048923
100 ,45, 0.105690
100 ,80, 0.185646
100 ,100, 0.231622
150 ,10, 0.052839
150 ,20, 0.103615
150 ,45, 0.231177
150 ,80, 0.413278
150 ,100, 0.515135
200 ,10, 0.094182
200 ,20, 0.184789
200 ,45, 0.412768
200 ,80, 0.725242
200 ,100, 0.918469
250 ,10, 0.148274
250 ,20, 0.307280
250 ,45, 0.654173
250 ,80, 1.142915
250 ,100, 1.443876
350 ,10, 0.299347
350 ,20, 0.577455
350 ,45, 1.268461
350 ,80, 2.290370
350 ,100, 2.848632
500 ,10, 0.593629
500 ,20, 1.159871
500 ,45, 2.619177
500 ,80, 4.634406
500 ,100, 5.794043
650 ,10, 0.991632
650 ,20, 1.986070
650 ,45, 4.398403
650 ,80, 7.732700
650 ,100, 9.633422
800 ,10, 1.483513
800 ,20, 2.982625
800 ,45, 6.601581
800 ,80, 11.699740
800 ,100, 14.596111
900 ,10, 1.874323
900 ,20, 3.739698
900 ,45, 8.333375
900 ,80, 14.812953
900 ,100, 18.683734
1000 ,10, 2.362681
1000 ,20, 4.663560
1000 ,45, 10.450010
1000 ,80, 18.548153
1000 ,100, 23.138724
1200 ,10, 3.383461
1200 ,20, 6.708609
1200 ,45, 15.004405
1200 ,80, 26.622660
1200 ,100, 33.302834
1400 ,10, 4.615350
1400 ,20, 9.183518
1400 ,45, 20.747208
1400 ,80, 36.155201
1400 ,100, 45.308247
1600 ,10, 6.015661
1600 ,20, 11.969321
1600 ,45, 26.593066
1600 ,80, 46.257109
1600 ,100, 57.757764
1800 ,10, 7.432826
1800 ,20, 14.790461
1800 ,45, 33.051716
1800 ,80, 58.904547
1800 ,100, 73.145923
2000 ,10, 9.129259
2000 ,20, 18.219710
2000 ,45, 40.629985
2000 ,80, 72.532279
2000 ,100, 90.139850
